County,Year-Month,Value,AQI,Pollutant
Alameda.1,1/1/2014,0.05,60,14129
Alameda.2,2/1/2014,0.052,28,14129
Alameda.3,3/1/2014,0.0655,34,14129
Alameda.4,4/1/2014,0.036,40,14129
Alameda.5,5/1/2014,0.03,38,14129
Alameda.6,6/1/2014,0.023,37,14129
Alameda.7,7/1/2014,0.021,28,14129
Alameda.8,8/1/2014,0.021,31,14129
Alameda.9,9/1/2014,0.021,35,14129
Alameda.10,10/1/2014,0.017,34,14129
Alameda.11,11/1/2014,0.019,44,14129
Alameda.12,12/1/2014,0.0235,35,14129
Alpine.1,1/1/2014,0.05,58,14129
Alpine.2,2/1/2014,0.052,27,14129
Alpine.3,3/1/2014,0.0655,34,14129
Alpine.4,4/1/2014,0.036,41,14129
Alpine.5,5/1/2014,0.03,38,14129
Alpine.6,6/1/2014,0.023,36,14129
Alpine.7,7/1/2014,0.021,29,14129
Alpine.8,8/1/2014,0.021,31,14129
Alpine.9,9/1/2014,0.021,34,14129
Alpine.10,10/1/2014,0.017,34,14129
Alpine.11,11/1/2014,0.019,44,14129
Alpine.12,12/1/2014,0.0235,36,14129
Amador.1,1/1/2014,0.05,61,14129
Amador.2,2/1/2014,0.052,27,14129
Amador.3,3/1/2014,0.0655,34,14129
Amador.4,4/1/2014,0.036,40,14129
Amador.5,5/1/2014,0.03,38,14129
Amador.6,6/1/2014,0.023,36,14129
Amador.7,7/1/2014,0.021,28,14129
Amador.8,8/1/2014,0.021,31,14129
Amador.9,9/1/2014,0.021,34,14129
Amador.10,10/1/2014,0.017,34,14129
Amador.11,11/1/2014,0.019,45,14129
Amador.12,12/1/2014,0.0235,36,14129
Butte.1,1/1/2014,0.05,63,14129
Butte.2,2/1/2014,0.052,28,14129
Butte.3,3/1/2014,0.0655,35,14129
Butte.4,4/1/2014,0.036,41,14129
Butte.5,5/1/2014,0.03,38.5,14129
Butte.6,6/1/2014,0.023,34,14129
Butte.7,7/1/2014,0.021,29,14129
Butte.8,8/1/2014,0.021,31,14129
Butte.9,9/1/2014,0.021,34,14129
Butte.10,10/1/2014,0.017,35,14129
Butte.11,11/1/2014,0.019,48,14129
Butte.12,12/1/2014,0.0235,37,14129
Calaveras.1,1/1/2014,0.05,60,14129
Calaveras.2,2/1/2014,0.052,27,14129
Calaveras.3,3/1/2014,0.0655,34,14129
Calaveras.4,4/1/2014,0.036,40,14129
Calaveras.5,5/1/2014,0.03,38,14129
Calaveras.6,6/1/2014,0.023,35,14129
Calaveras.7,7/1/2014,0.021,28,14129
Calaveras.8,8/1/2014,0.021,31,14129
Calaveras.9,9/1/2014,0.021,34,14129
Calaveras.10,10/1/2014,0.017,34,14129
Calaveras.11,11/1/2014,0.019,45,14129
Calaveras.12,12/1/2014,0.0235,35,14129
Colusa.1,1/1/2014,0.05,59,14129
Colusa.2,2/1/2014,0.052,27,14129
Colusa.3,3/1/2014,0.0655,34,14129
Colusa.4,4/1/2014,0.036,40,14129
Colusa.5,5/1/2014,0.03,38,14129
Colusa.6,6/1/2014,0.023,36,14129
Colusa.7,7/1/2014,0.021,28,14129
Colusa.8,8/1/2014,0.021,31,14129
Colusa.9,9/1/2014,0.021,34,14129
Colusa.10,10/1/2014,0.017,34,14129
Colusa.11,11/1/2014,0.019,44,14129
Colusa.12,12/1/2014,0.0235,35,14129
Contra Costa.1,1/1/2014,0.05,60,14129
Contra Costa.2,2/1/2014,0.052,28,14129
Contra Costa.3,3/1/2014,0.0655,35,14129
Contra Costa.4,4/1/2014,0.036,41,14129
Contra Costa.5,5/1/2014,0.03,39,14129
Contra Costa.6,6/1/2014,0.023,36,14129
Contra Costa.7,7/1/2014,0.021,31,14129
Contra Costa.8,8/1/2014,0.021,32,14129
Contra Costa.9,9/1/2014,0.021,35,14129
Contra Costa.10,10/1/2014,0.017,35,14129
Contra Costa.11,11/1/2014,0.019,45,14129
Contra Costa.12,12/1/2014,0.0235,33,14129
Del Norte.1,1/1/2014,0.05,60,14129
Del Norte.2,2/1/2014,0.052,27,14129
Del Norte.3,3/1/2014,0.0655,34,14129
Del Norte.4,4/1/2014,0.036,40,14129
Del Norte.5,5/1/2014,0.03,38,14129
Del Norte.6,6/1/2014,0.023,34.5,14129
Del Norte.7,7/1/2014,0.021,28,14129
Del Norte.8,8/1/2014,0.021,31,14129
Del Norte.9,9/1/2014,0.021,33,14129
Del Norte.10,10/1/2014,0.017,34,14129
Del Norte.11,11/1/2014,0.019,45,14129
Del Norte.12,12/1/2014,0.0235,37,14129
El Dorado.1,1/1/2014,0.05,60,14129
El Dorado.2,2/1/2014,0.052,27,14129
El Dorado.3,3/1/2014,0.0655,34,14129
El Dorado.4,4/1/2014,0.036,40,14129
El Dorado.5,5/1/2014,0.03,37,14129
El Dorado.6,6/1/2014,0.023,36,14129
El Dorado.7,7/1/2014,0.021,27,14129
El Dorado.8,8/1/2014,0.021,30,14129
El Dorado.9,9/1/2014,0.021,34,14129
El Dorado.10,10/1/2014,0.017,34,14129
El Dorado.11,11/1/2014,0.019,44,14129
El Dorado.12,12/1/2014,0.0235,35,14129
Fresno.1,1/1/2014,0.05,58,14129
Fresno.2,2/1/2014,0.052,27,14129
Fresno.3,3/1/2014,0.0655,34,14129
Fresno.4,4/1/2014,0.036,40,14129
Fresno.5,5/1/2014,0.03,37,14129
Fresno.6,6/1/2014,0.023,36,14129
Fresno.7,7/1/2014,0.021,27,14129
Fresno.8,8/1/2014,0.021,30,14129
Fresno.9,9/1/2014,0.021,34,14129
Fresno.10,10/1/2014,0.017,34,14129
Fresno.11,11/1/2014,0.019,43,14129
Fresno.12,12/1/2014,0.0235,35,14129
Glenn.1,1/1/2014,0.05,62,14129
Glenn.2,2/1/2014,0.052,27.5,14129
Glenn.3,3/1/2014,0.0655,35,14129
Glenn.4,4/1/2014,0.036,41,14129
Glenn.5,5/1/2014,0.03,38,14129
Glenn.6,6/1/2014,0.023,35,14129
Glenn.7,7/1/2014,0.021,29,14129
Glenn.8,8/1/2014,0.021,31,14129
Glenn.9,9/1/2014,0.021,34,14129
Glenn.10,10/1/2014,0.017,35,14129
Glenn.11,11/1/2014,0.019,46,14129
Glenn.12,12/1/2014,0.0235,36,14129
Humboldt.1,1/1/2014,0.05,63,14129
Humboldt.2,2/1/2014,0.052,27,14129
Humboldt.3,3/1/2014,0.0655,34,14129
Humboldt.4,4/1/2014,0.036,40,14129
Humboldt.5,5/1/2014,0.03,38,14129
Humboldt.6,6/1/2014,0.023,34,14129
Humboldt.7,7/1/2014,0.021,28,14129
Humboldt.8,8/1/2014,0.021,31,14129
Humboldt.9,9/1/2014,0.021,33,14129
Humboldt.10,10/1/2014,0.017,34,14129
Humboldt.11,11/1/2014,0.019,48,14129
Humboldt.12,12/1/2014,0.0235,37,14129
Imperial.1,1/1/2014,0.05,63,14129
Imperial.2,2/1/2014,0.052,27,14129
Imperial.3,3/1/2014,0.0655,34,14129
Imperial.4,4/1/2014,0.036,39,14129
Imperial.5,5/1/2014,0.03,37,14129
Imperial.6,6/1/2014,0.023,35,14129
Imperial.7,7/1/2014,0.021,27,14129
Imperial.8,8/1/2014,0.021,30,14129
Imperial.9,9/1/2014,0.021,33,14129
Imperial.10,10/1/2014,0.017,34,14129
Imperial.11,11/1/2014,0.019,49,14129
Imperial.12,12/1/2014,0.0235,38,14129
Inyo.1,1/1/2014,0.05,61,14129
Inyo.2,2/1/2014,0.052,28,14129
Inyo.3,3/1/2014,0.0655,35,14129
Inyo.4,4/1/2014,0.036,41,14129
Inyo.5,5/1/2014,0.03,38,14129
Inyo.6,6/1/2014,0.023,35,14129
Inyo.7,7/1/2014,0.021,28.5,14129
Inyo.8,8/1/2014,0.021,31,14129
Inyo.9,9/1/2014,0.021,34,14129
Inyo.10,10/1/2014,0.017,35,14129
Inyo.11,11/1/2014,0.019,45,14129
Inyo.12,12/1/2014,0.0235,33,14129
Kern.1,1/1/2014,0.05,63,14129
Kern.2,2/1/2014,0.052,27.5,14129
Kern.3,3/1/2014,0.0655,34,14129
Kern.4,4/1/2014,0.036,41,14129
Kern.5,5/1/2014,0.03,38,14129
Kern.6,6/1/2014,0.023,36,14129
Kern.7,7/1/2014,0.021,29,14129
Kern.8,8/1/2014,0.021,31,14129
Kern.9,9/1/2014,0.021,34,14129
Kern.10,10/1/2014,0.017,34,14129
Kern.11,11/1/2014,0.019,49,14129
Kern.12,12/1/2014,0.0235,38,14129
Kings.1,1/1/2014,0.05,60,14129
Kings.2,2/1/2014,0.052,27,14129
Kings.3,3/1/2014,0.0655,34,14129
Kings.4,4/1/2014,0.036,40,14129
Kings.5,5/1/2014,0.03,37,14129
Kings.6,6/1/2014,0.023,35,14129
Kings.7,7/1/2014,0.021,27,14129
Kings.8,8/1/2014,0.021,30,14129
Kings.9,9/1/2014,0.021,34,14129
Kings.10,10/1/2014,0.017,34,14129
Kings.11,11/1/2014,0.019,44,14129
Kings.12,12/1/2014,0.0235,34,14129
Lake.1,1/1/2014,0.05,60,14129
Lake.2,2/1/2014,0.052,28,14129
Lake.3,3/1/2014,0.0655,34,14129
Lake.4,4/1/2014,0.036,40,14129
Lake.5,5/1/2014,0.03,38,14129
Lake.6,6/1/2014,0.023,36,14129
Lake.7,7/1/2014,0.021,27,14129
Lake.8,8/1/2014,0.021,30,14129
Lake.9,9/1/2014,0.021,34,14129
Lake.10,10/1/2014,0.017,34,14129
Lake.11,11/1/2014,0.019,44,14129
Lake.12,12/1/2014,0.0235,34,14129
Lassen.1,1/1/2014,0.05,63,14129
Lassen.2,2/1/2014,0.052,27.5,14129
Lassen.3,3/1/2014,0.0655,35,14129
Lassen.4,4/1/2014,0.036,41,14129
Lassen.5,5/1/2014,0.03,38,14129
Lassen.6,6/1/2014,0.023,35,14129
Lassen.7,7/1/2014,0.021,29,14129
Lassen.8,8/1/2014,0.021,31,14129
Lassen.9,9/1/2014,0.021,34,14129
Lassen.10,10/1/2014,0.017,35,14129
Lassen.11,11/1/2014,0.019,49,14129
Lassen.12,12/1/2014,0.0235,38,14129
Los Angeles.1,1/1/2014,0.05,60,14129
Los Angeles.2,2/1/2014,0.052,28,14129
Los Angeles.3,3/1/2014,0.0655,35,14129
Los Angeles.4,4/1/2014,0.036,41,14129
Los Angeles.5,5/1/2014,0.03,39,14129
Los Angeles.6,6/1/2014,0.023,35,14129
Los Angeles.7,7/1/2014,0.021,31,14129
Los Angeles.8,8/1/2014,0.021,32,14129
Los Angeles.9,9/1/2014,0.021,35,14129
Los Angeles.10,10/1/2014,0.017,35,14129
Los Angeles.11,11/1/2014,0.019,44,14129
Los Angeles.12,12/1/2014,0.0235,33,14129
Madera.1,1/1/2014,0.05,58,14129
Madera.2,2/1/2014,0.052,27,14129
Madera.3,3/1/2014,0.0655,34,14129
Madera.4,4/1/2014,0.036,40,14129
Madera.5,5/1/2014,0.03,38,14129
Madera.6,6/1/2014,0.023,36,14129
Madera.7,7/1/2014,0.021,27,14129
Madera.8,8/1/2014,0.021,30,14129
Madera.9,9/1/2014,0.021,34,14129
Madera.10,10/1/2014,0.017,34,14129
Madera.11,11/1/2014,0.019,43,14129
Madera.12,12/1/2014,0.0235,35,14129
Marin.1,1/1/2014,0.05,58,14129
Marin.2,2/1/2014,0.052,27,14129
Marin.3,3/1/2014,0.0655,34,14129
Marin.4,4/1/2014,0.036,40,14129
Marin.5,5/1/2014,0.03,37,14129
Marin.6,6/1/2014,0.023,36,14129
Marin.7,7/1/2014,0.021,27,14129
Marin.8,8/1/2014,0.021,30,14129
Marin.9,9/1/2014,0.021,34,14129
Marin.10,10/1/2014,0.017,34,14129
Marin.11,11/1/2014,0.019,43,14129
Marin.12,12/1/2014,0.0235,35,14129
Mariposa.1,1/1/2014,0.05,58,14129
Mariposa.2,2/1/2014,0.052,27.5,14129
Mariposa.3,3/1/2014,0.0655,35,14129
Mariposa.4,4/1/2014,0.036,40.5,14129
Mariposa.5,5/1/2014,0.03,38,14129
Mariposa.6,6/1/2014,0.023,36,14129
Mariposa.7,7/1/2014,0.021,28,14129
Mariposa.8,8/1/2014,0.021,31,14129
Mariposa.9,9/1/2014,0.021,34,14129
Mariposa.10,10/1/2014,0.017,34,14129
Mariposa.11,11/1/2014,0.019,43,14129
Mariposa.12,12/1/2014,0.0235,35,14129
Mendocino.1,1/1/2014,0.05,63,14129
Mendocino.2,2/1/2014,0.052,27,14129
Mendocino.3,3/1/2014,0.0655,34,14129
Mendocino.4,4/1/2014,0.036,40,14129
Mendocino.5,5/1/2014,0.03,38,14129
Mendocino.6,6/1/2014,0.023,35,14129
Mendocino.7,7/1/2014,0.021,28,14129
Mendocino.8,8/1/2014,0.021,31,14129
Mendocino.9,9/1/2014,0.021,33,14129
Mendocino.10,10/1/2014,0.017,34,14129
Mendocino.11,11/1/2014,0.019,49,14129
Mendocino.12,12/1/2014,0.0235,38,14129
Merced.1,1/1/2014,0.05,60,14129
Merced.2,2/1/2014,0.052,27,14129
Merced.3,3/1/2014,0.0655,34,14129
Merced.4,4/1/2014,0.036,40,14129
Merced.5,5/1/2014,0.03,38,14129
Merced.6,6/1/2014,0.023,36,14129
Merced.7,7/1/2014,0.021,27,14129
Merced.8,8/1/2014,0.021,30,14129
Merced.9,9/1/2014,0.021,34,14129
Merced.10,10/1/2014,0.017,34,14129
Merced.11,11/1/2014,0.019,45,14129
Merced.12,12/1/2014,0.0235,35,14129
Modoc.1,1/1/2014,0.05,62,14129
Modoc.2,2/1/2014,0.052,27,14129
Modoc.3,3/1/2014,0.0655,34,14129
Modoc.4,4/1/2014,0.036,39,14129
Modoc.5,5/1/2014,0.03,37,14129
Modoc.6,6/1/2014,0.023,35,14129
Modoc.7,7/1/2014,0.021,27,14129
Modoc.8,8/1/2014,0.021,29,14129
Modoc.9,9/1/2014,0.021,33,14129
Modoc.10,10/1/2014,0.017,33,14129
Modoc.11,11/1/2014,0.019,46,14129
Modoc.12,12/1/2014,0.0235,36,14129
Mono.1,1/1/2014,0.05,61.5,14129
Mono.2,2/1/2014,0.052,27,14129
Mono.3,3/1/2014,0.0655,34,14129
Mono.4,4/1/2014,0.036,40,14129
Mono.5,5/1/2014,0.03,38,14129
Mono.6,6/1/2014,0.023,35,14129
Mono.7,7/1/2014,0.021,27,14129
Mono.8,8/1/2014,0.021,30,14129
Mono.9,9/1/2014,0.021,33,14129
Mono.10,10/1/2014,0.017,34,14129
Mono.11,11/1/2014,0.019,45,14129
Mono.12,12/1/2014,0.0235,35,14129
Monterey.1,1/1/2014,0.05,60,14129
Monterey.2,2/1/2014,0.052,28,14129
Monterey.3,3/1/2014,0.0655,35,14129
Monterey.4,4/1/2014,0.036,41,14129
Monterey.5,5/1/2014,0.03,39,14129
Monterey.6,6/1/2014,0.023,35,14129
Monterey.7,7/1/2014,0.021,30,14129
Monterey.8,8/1/2014,0.021,31,14129
Monterey.9,9/1/2014,0.021,35,14129
Monterey.10,10/1/2014,0.017,35,14129
Monterey.11,11/1/2014,0.019,44,14129
Monterey.12,12/1/2014,0.0235,33,14129
Napa.1,1/1/2014,0.05,60,14129
Napa.2,2/1/2014,0.052,28,14129
Napa.3,3/1/2014,0.0655,34,14129
Napa.4,4/1/2014,0.036,40,14129
Napa.5,5/1/2014,0.03,38,14129
Napa.6,6/1/2014,0.023,37,14129
Napa.7,7/1/2014,0.021,29,14129
Napa.8,8/1/2014,0.021,31,14129
Napa.9,9/1/2014,0.021,35,14129
Napa.10,10/1/2014,0.017,34,14129
Napa.11,11/1/2014,0.019,44,14129
Napa.12,12/1/2014,0.0235,34,14129
Nevada.1,1/1/2014,0.05,60,14129
Nevada.2,2/1/2014,0.052,28,14129
Nevada.3,3/1/2014,0.0655,34,14129
Nevada.4,4/1/2014,0.036,40,14129
